Sport,Event,event_id
Gymnastics,Gymnastics Women's Horse Vault,176
Gymnastics,Gymnastics Women's Uneven Bars,177
Gymnastics,Gymnastics Women's Balance Beam,178
Diving,Diving Women's Springboard,179
Diving,Diving Women's Synchronized Springboard,180
Athletics,"Athletics Women's 10,000 metres",181
Judo,Judo Women's Half-Middleweight,182
Athletics,Athletics Men's Decathlon,183
Athletics,Athletics Women's 4 x 100 metres Relay,184
Athletics,"Athletics Women's 1,500 metres",185
Shooting,"Shooting Women's Air Pistol, 10 metres",186
Shooting,"Shooting Women's Sporting Pistol, 25 metres",187
Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",188
Canoeing,"Canoeing Men's Kayak Singles, 500 metres",189
Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",190
Shooting,"Shooting Men's Running Target, 50 metres",191
Judo,Judo Women's Half-Heavyweight,192
Athletics,Athletics Women's Pole Vault,193
Rugby Sevens,Rugby Sevens Women's Rugby Sevens,194
Table Tennis,Table Tennis Men's Team,195
Rowing,Rowing Women's Coxed Eights,196
Athletics,Athletics Women's 4 x 400 metres Relay,197
Cycling,"Cycling Men's 1,000 metres Time Trial",198
Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",199
Wrestling,"Wrestling Men's Welterweight, Freestyle",200
Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",201
Rowing,Rowing Women's Lightweight Double Sculls,202
Athletics,Athletics Women's 800 metres,203
Rowing,Rowing Women's Coxed Quadruple Sculls,204
Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,205
Canoeing,"Canoeing Men's Kayak Singles, Slalom",206
Archery,Archery Men's Individual,207
Archery,Archery Men's Team,208
Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,209
Athletics,Athletics Women's 400 metres,210
Trampolining,Trampolining Men's Individual,211
Swimming,Swimming Men's 200 metres Breaststroke,212
Beach Volleyball,Beach Volleyball Men's Beach Volleyball,213
Cycling,"Cycling Women's Mountainbike, Cross-Country",214
Triathlon,Triathlon Women's Olympic Distance,215
Cycling,"Cycling Men's Mountainbike, Cross-Country",216
Athletics,Athletics Women's 400 metres Hurdles,217
Diving,Diving Men's Springboard,218
Wrestling,"Wrestling Men's Featherweight, Greco-Roman",219
Table Tennis,Table Tennis Men's Singles,220
Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",221
Judo,Judo Men's Open Class,222
Rowing,Rowing Women's Quadruple Sculls,223
Athletics,Athletics Women's Pentathlon,224
Cycling,"Cycling Men's Team Pursuit, 4,000 metres",225
Weightlifting,Weightlifting Women's Middleweight,226
Swimming,"Swimming Men's 1,500 metres Freestyle",227
Wrestling,"Wrestling Women's Light-Heavyweight, Freestyle",228
Athletics,Athletics Women's High Jump,229
Canoeing,"Canoeing Women's Kayak Fours, 500 metres",230
Sailing,Sailing Men's One Person Dinghy,231
Trampolining,Trampolining Women's Individual,232
Judo,Judo Men's Middleweight,233
